msg.cui.vmdberror.invalidPath	路径无效
msg.cui.guestOSInfoBar.txtNotInstalledFormat	此虚拟机上未安装 %s。请插入安装光盘，然后单击“重新启动虚拟机”。
msg.cui.guestOSInfoBar.txtOtherNotInstalled	此虚拟机上未安装客户机操作系统。请插入安装光盘，然后单击“重新启动虚拟机”。
msg.cui.guestOSInfoBar.txtInstallingFormat	像在物理计算机上一样安装 %s。完成后，当操作系统启动时，请单击“我已完成安装”。
msg.cui.guestOSInfoBar.txtOtherInstalling	像在物理计算机上一样安装客户机操作系统。完成后，当操作系统启动时，请单击“我已完成安装”。
msg.cui.guestOSInfoBar.txtEasyInstallFormat	简易安装正在安装 %s。%s
msg.cui.guestOSInfoBar.txtEasyInstallWarning	为 Ubuntu 14.04 及更高版本安装 open-vm-tools 需要 Internet 连接。
msg.cui.guestOSInfoBar.txtEasyInstallToolsKB1	完成操作系统安装后，需要手动安装 VMware Tools。请参阅 https://kb.vmware.com/s/article/78708。
msg.cui.guestOSInfoBar.txtEasyInstallToolsKB2	完成操作系统安装后，需要手动安装 VMware Tools。安装 VMware Tools 之前应先安装 Windows Server 2012 R2 更新 (KB2919355)。
msg.cui.guestOSInfoBar.txtOtherEasyInstall	简易安装正在安装客户机操作系统。
msg.cui.guestOSInfoBar.txtEasyToolsFormat	简易安装正在 %s 上安装 VMware Tools。
msg.cui.guestOSInfoBar.txtOtherEasyTools	简易安装正在客户机操作系统上安装 VMware Tools。
msg.cui.guestOSInfoBar.txtEasyToolsError	简易安装未能自动安装 VMware Tools。请登录客户机操作系统，然后从“虚拟机”菜单中单击“安装 VMware Tools”。
msg.cui.toolsInfoBar.txtNotInstalled	VMware Tools 可启用许多功能并改善鼠标移动、视频和性能。请登录客户机操作系统，然后单击“安装 Tools”。
msg.cui.toolsInfoBar.txtNotCurrent	安装的 VMware Tools 版本不是最新版本。请登录客户机操作系统，然后单击“更新 Tools”。
msg.cui.toolsInfoBar.txtUpdateToGet3D	安装的 VMware Tools 版本不是最新版本，并且 3D 图形已禁用。请登录客户机操作系统，然后单击“更新 Tools”以启用 3D 图形。
msg.cui.toolsInfoBar.txtLogIn	请确保您已登录客户机操作系统。
msg.cui.toolsInfoBar.txtWin8	如果未看到 VMware Tools 正在安装，请按 Windows 徽标键 + R，然后输入 D:\setup.exe（其中 D: 是您的虚拟 CD-ROM 驱动器）。
msg.cui.toolsInfoBar.txtWinVista7	如果未看到 VMware Tools 正在安装，请单击 Windows 图标，然后在“搜索”框中输入 D:\setup.exe（其中 D: 是您的虚拟 CD-ROM 驱动器）。
msg.cui.toolsInfoBar.txtWinOther	如果未看到 VMware Tools 正在安装，请在虚拟机中单击“开始”>“运行”，然后输入 D:\setup.exe（其中 D: 是您的虚拟 CD-ROM 驱动器）。
msg.cui.toolsInfoBar.txtLinux	在客户机中挂载虚拟 CD 驱动器，启动终端，然后使用 tar 解压缩安装程序。接着执行 vmware-install.pl 以安装 VMware Tools。
msg.cui.toolsInfoBar.txtOther	请参阅 Tools 安装指南了解安装说明。
msg.cui.toolsInfoBar.txtInstaller	VMware Tools 正在安装。请按照客户机操作系统中的说明完成安装。
msg.cui.toolsInfoBar.txtErrorImage	此客户机操作系统的 VMware Tools 安装映像不可访问。如果当前正在下载 VMware Tools，请等待下载完成。
msg.cui.toolsInfoBar.txtErrorSigCheck	此客户机操作系统的 VMware Tools 安装映像没有有效签名，可能已损坏。请重新下载 VMware Tools 或重新安装产品。
msg.cui.toolsInfoBar.txtErrorDevice	虚拟 CD/DVD 设备无法连接 VMware Tools 安装映像。客户机操作系统可能正在使用 CD/DVD 设备。
msg.cui.inventory.vmNode.invalidDirectory	打开虚拟机目录失败：%s
